username,url,title
杨兵507,http://tieba.baidu.com//p/4606205714,如何从零开始学python？
宇智波D鼬13,http://tieba.baidu.com//p/4652136742,如何在R630上搭建django原型。
TVB620,http://tieba.baidu.com//p/4345508375,谁有小白资源网2016年录制的python视频教程？
芒果不忙mg,http://tieba.baidu.com//p/4519581100,python求一份课程设计
诗书塞外,http://tieba.baidu.com//p/4587035966,Python免费资源大放送
kkaeuk664,http://tieba.baidu.com//p/4257941220,学习JAVA的关键是项目实战
zcf1002797280,http://tieba.baidu.com//p/3236807909,免费的Python和Django教程视频（视频都是完整的）
invgod,http://tieba.baidu.com//p/3729178618,【教程】Python视频教程大全，入门到精通，网盘分享
不学习没未来,http://tieba.baidu.com//p/4495950800,【56套java学习资料免费送】想要成功，态度比智商更重要
杨兵507,http://tieba.baidu.com//p/4608150249,新书强烈推荐《从零开始学python》，手把手教你，从小白到专家
紫巅圣域,http://tieba.baidu.com//p/3072432377,[就业]Python目前在国内都做些什么工作？
拼搏才配有未来,http://tieba.baidu.com//p/4644085443,【python学习资料免费领】再牛的梦想，也挡不住你傻傻的坚持
不学习没未来,http://tieba.baidu.com//p/4643610102,间歇性踌躇满志，持续性混吃等死，python资料拿去学
兰博基尼我喜欢,http://tieba.baidu.com//p/4646827216,第一天学python就遇上了问题，请教大家一下
happy轻眠,http://tieba.baidu.com//p/4652019701,该怎么学Python？
不学习没未来,http://tieba.baidu.com//p/4643593149,态度比智商更重要，学好python这些资料拿去用，记住要有耐性
丶柒公子,http://tieba.baidu.com//p/4645763801,网易云课堂价值499的课程：Python实战：四周实现爬虫网站
一颗幸福python,http://tieba.baidu.com//p/4638948167,[顶] python教学、可选[第几课程]学习、学您想学的部分
迪斯科18,http://tieba.baidu.com//p/4542536773,python爱好者想要资料的就留下自己的邮箱，有全套python资料
hltang1665,http://tieba.baidu.com//p/4652174540,python的历史
毛豆之神,http://tieba.baidu.com//p/4509034132,独立制作，良心手游，请多支持
刘宇鹏52677,http://tieba.baidu.com//p/4542322296,【快扑倒俄】坚持不懈，网页制作很多资料一起学习，加油
过路的123shine,http://tieba.baidu.com//p/4324113753,pycharm
chennana333,http://tieba.baidu.com//p/4639518010,"新整理了python 学习资料,要的留邮箱!!!!!!!!!!!!!!!"
TVB620,http://tieba.baidu.com//p/4347214148,python程序员月薪3000是不是有点少啊？
hltang1665,http://tieba.baidu.com//p/4652175216,Python功能简介
菜鸟要飞2,http://tieba.baidu.com//p/4210621672,python全套视频教程分享。直接百度云链接
Chloe_R_L,http://tieba.baidu.com//p/991506509,"新年好! 来发一个用pygame做的画图程序, 请多多指教!"
醉春风wm014635,http://tieba.baidu.com//p/4251288943,四年时间收藏2050GPython视频教程，只要你的云盘够大
一颗幸福python,http://tieba.baidu.com//p/4645811937,[顶] 承接 python代写、解题、GUI、小程序、爬虫等
绝恋172,http://tieba.baidu.com//p/4651911805,新人准备入坑，先混个脸熟
一颗幸福python,http://tieba.baidu.com//p/4582973604,本站新推出[最近代写一览表(滚动实时更新)](部分信息为客户隐私)
祭枫迁影,http://tieba.baidu.com//p/4652158435,小白求助!
当当豆year,http://tieba.baidu.com//p/4652081975,各位大神，求解答
黄哥python培训,http://tieba.baidu.com//p/4428779244,python编程思路之四
杀阡陌952,http://tieba.baidu.com//p/4550538495,python数据分析数据挖掘 爬虫 自动化测试运维全套资料
黄哥python培训,http://tieba.baidu.com//p/3851625451,python免费视频
黄哥python培训,http://tieba.baidu.com//p/4102512709,如何捅破python编程的那层纸视频
黄哥python培训,http://tieba.baidu.com//p/4430835952,黄哥提醒：提问须知
黄哥python培训,http://tieba.baidu.com//p/4606101283,python类的静态方法和类方法区别
黄哥python培训,http://tieba.baidu.com//p/4625842233,如何训练自己的编程思路
会千年杀的奥义,http://tieba.baidu.com//p/4637965890,小白都来看看，学不好python不是因为笨，也不是因为没基础。
黄哥python培训,http://tieba.baidu.com//p/4630541335,跟黄哥学习Python第一章
小学生SEO,http://tieba.baidu.com//p/4607018873,【北航安卓软件工程硕士】移动改变未来，有你更加精彩!
会千年杀的奥义,http://tieba.baidu.com//p/4645972635,老司机带小白上车了，话不多说了，上车了，滴滴！！
鸡3巴333,http://tieba.baidu.com//p/4397142370,在 BAT 做三年，普通程序员能拿多少工资？
阿凯910,http://tieba.baidu.com//p/4618027367,刚自学完python，储存了大量干货资料，有人要么
Ervinfour,http://tieba.baidu.com//p/4616186338,Python基础教程学习-免费互动 适用新人学习~
李红BB,http://tieba.baidu.com//p/4622665804,"【阿里巴巴架构师,十年开发经验】腾讯课堂,带你免费学习网页制作"
杨兵507,http://tieba.baidu.com//p/4641486973,"python学习资料，+,571371277"
